epoch,total,train,val
1,1000,1.5817137620389718,1.202012422349718
2,1000,1.3583194976880155,0.9620092391967774
3,1000,1.1426977020448572,0.8971810446845161
4,1000,1.1181088791266698,0.8942937709667065
5,1000,1.1172838089230965,0.894943110148112
6,1000,1.1182776478609295,0.8947289714106808
7,1000,1.1177534414578618,0.8924769154301396
8,1000,1.1180002482218137,0.89211548699273
9,1000,1.117337049721923,0.8926831351386176
10,1000,1.1177456176944942,0.891432649117929
11,1000,1.1173547039815863,0.8915106667412652
12,1000,1.1172306893124042,0.8906597702591508
13,1000,1.1182846340004289,0.8891229841444227
14,1000,1.1181938070582251,0.8907809292828596
15,1000,1.1185713259179502,0.890155537923177
16,1000,1.1179584525729525,0.889623408847385
17,1000,1.1169413490777156,0.8883542590671115
18,1000,1.1173893780453865,0.8886651003802264
19,1000,1.1175900370807175,0.8882248278017397
20,1000,1.1181103975427038,0.8878847263477466
21,1000,1.1185846102760695,0.8875006640398944
22,1000,1.1183383203438664,0.8891993204752604
23,1000,1.1178475547371158,0.8885039435492621
24,1000,1.1168721827323163,0.8883167761343497
25,1000,1.1189451449752263,0.888875565705476
26,1000,1.1177252473948829,0.8891228569878472
27,1000,1.1182397017175068,0.8899926150286639
28,1000,1.1183335262838527,0.8895759441234448
29,1000,1.1169446781870482,0.8900571823120117
30,1000,1.1188237714944977,0.8902491322270146
31,1000,1.1170775787979506,0.890212814896195
