epoch,total,train,val
1,1000,1.1759957122301496,0.9728371170935808
2,1000,1.1285502965019187,0.9835390660497877
3,1000,1.128567720415018,1.0003401864458012
4,1000,1.1271550374637078,1.0192994839615293
5,1000,1.1276477194692158,1.0411283749121207
6,1000,1.1291889405927569,1.0702452736872214
7,1000,1.1273755761426474,1.0905777725908492
8,1000,1.1272999633236587,1.1153722831496486
9,1000,1.1269066730757962,1.129843017127779
10,1000,1.126837609762588,1.1506168946071906
11,1000,1.1271671393464295,1.1595719357331593
