epoch,total,train,val
1,80,1.0956418637820722,0.8760156162531564
2,80,0.9030332199778294,0.8104765158215607
3,80,0.8599454381620982,0.7670360566461804
4,80,0.8306757568512462,0.7469011650041297
5,80,0.8014144271740522,0.7294881486126946
6,80,0.7744342417419022,0.7231862322185878
7,80,0.7660812228271949,0.7048757768374074
8,80,0.7518042779654532,0.7047970893499614
9,80,0.7470312561855863,0.7056272401543403
10,80,0.7406068221523219,0.6955736373654671
11,80,0.7357250091907569,0.6847784185299167
12,80,0.7326886784691855,0.6809563718356744
13,80,0.7273591589393368,0.6776994318028705
14,80,0.7263968659235671,0.6763932560311837
15,80,0.7240426515356382,0.6763293810568198
16,80,0.7223901849861989,0.6723934714251233
17,80,0.7206002942479712,0.6778236435881505
18,80,0.7198619279507102,0.6749805639049521
19,80,0.7225346576124136,0.6858574759853245
20,80,0.7186695182790755,0.6712025444937387
21,80,0.706117359188597,0.6683045371297609
22,80,0.7038396784437599,0.6693794615825431
23,80,0.7009907672810584,0.6741390801552269
24,80,0.7000008635742315,0.6701719814790758
25,80,0.70006048999587,0.6698067337102084
26,80,0.7011145274998872,0.6692571541794611
