epoch,total,train,val
1,80,1.244046489194637,1.1503992844545454
2,80,1.0836908173166024,1.037096871683995
3,80,1.0265213885710391,1.005368076040651
4,80,0.9916996084579508,0.9560636427098265
5,80,0.9653820891834208,0.9579007525893825
6,80,0.9407019384134093,0.9679737714705644
7,80,0.9221174612046332,0.959751769658868
8,80,0.9058388846617944,0.9824673264045958
9,80,0.8940537906631134,0.9009961423429625
10,80,0.8836069367203245,0.929230351984087
11,80,0.8798467807721392,0.9039859060646483
12,80,0.8749178691113619,0.9258255972182033
13,80,0.8692423080265004,0.9054093314248517
14,80,0.8643798803019606,0.8848393004801538
15,80,0.8644397502067672,0.8846028508721955
16,80,0.8627449089492775,0.8771570736576838
17,80,0.8642128937713803,0.8852050024412434
18,80,0.8567071809012643,0.8722271819392012
19,80,0.8592720752789579,0.8704755238378076
20,80,0.855307128775058,0.917157715410684
21,80,0.837147925006916,0.866185489145142
22,80,0.8330565770835509,0.8654354379460629
23,80,0.8320252578948935,0.8661572360088704
24,80,0.8301912092041713,0.8690871587626774
25,80,0.8294865670226091,0.8546348305901995
26,80,0.8303793331499265,0.8630462281871587
27,80,0.8295013556663847,0.8646004629338643
28,80,0.8265840265383485,0.8647300638862092
29,80,0.8287891909383285,0.8529991438370887
30,80,0.8251581594312057,0.8713604975491762
31,80,0.8240714296127498,0.8611975903881507
32,80,0.8254619639227361,0.8560102363117039
33,80,0.8271340043694967,0.8669127757592058
34,80,0.8249196389076684,0.8656880906696811
