epoch,total,train,val
1,80,1.2141420380617896,1.0946991517105036
2,80,1.0779993181133263,1.0546075964898423
3,80,1.0274294926150975,1.009534121732469
4,80,1.0039369939356722,0.9816166442060085
5,80,0.9731056505254136,1.0040644261365135
6,80,0.9500571212348072,0.9339828569338553
7,80,0.9295190804082466,0.9417148262986706
8,80,0.9158433713489348,0.933337932780247
9,80,0.9064326087735293,0.9303551119390048
10,80,0.8960831142688408,0.9359865222143492
11,80,0.8849409973806722,0.9389308242868908
12,80,0.8845520778131865,0.9702080622729328
13,80,0.8824942148561086,0.9409328033561232
14,80,0.8792383157038255,0.9272392201064913
15,80,0.878751272093215,0.9050555007221798
16,80,0.8749670322615436,0.8956693187873397
17,80,0.8732558798290481,0.9593445117395647
18,80,0.8725369978198187,0.9198854344517544
19,80,0.8711274089939586,0.9000565754508393
20,80,0.8672251797469047,0.9174616066997664
21,80,0.8486224338602643,0.8916749491752988
22,80,0.8424620023695463,0.8943069550312228
23,80,0.8398907768203356,0.8866324679736324
24,80,0.8442085074616119,0.8927826465676643
25,80,0.8397338110623164,0.9003928485671403
26,80,0.8395205374285812,0.8893473896077247
27,80,0.8400773442968921,0.887131763242737
28,80,0.8368034085067261,0.8948162550330852
