epoch,total,train,val
1,80,1.2022381252995007,1.1342827346244897
2,80,1.0600292124411634,0.9909566679831456
3,80,1.012156648599838,0.9827845001213804
4,80,0.9782964159114594,0.9232019018209366
5,80,0.9490001812077968,0.9565401754204046
6,80,0.9304194242747668,0.9158825928224595
7,80,0.9115390258859096,0.8858166265956782
8,80,0.8944732237709762,0.8989499232524799
9,80,0.886321731884729,0.8794687785794614
10,80,0.8747583251337439,0.8704177965410054
11,80,0.8706251952202444,0.8857779551935555
12,80,0.8669445420740399,0.8865526244820406
13,80,0.8593297503761883,0.8857331650883511
14,80,0.8598141286379926,0.8862312377378758
15,80,0.8600998705595512,0.8682705432659498
16,80,0.8526604275119001,0.8559210488520976
17,80,0.8568079373559618,0.8808985319316249
18,80,0.8516786290403787,0.8771576153769813
19,80,0.8486080975922036,0.8638636279351043
20,80,0.8463955430690716,0.8787669534191351
21,80,0.831431240459038,0.8510415390116611
22,80,0.8236450388297711,0.8582487914073108
23,80,0.8252695845473342,0.8593303916751649
24,80,0.8231441624078083,0.849028392393073
25,80,0.8215444325243385,0.8419332138900818
26,80,0.8230250230174194,0.8563736451065375
27,80,0.821899035410495,0.8534540180375593
28,80,0.8222589832656148,0.8484479711235812
29,80,0.8207672443674623,0.8503574743021831
30,80,0.8228201335412288,0.8484882034827024
