epoch,total,train,val
1,1000,1.585453143106933,1.203385713365343
2,1000,1.358957824105546,0.9618581065425167
3,1000,1.1419528726435324,0.8965009406760887
4,1000,1.1169078868952569,0.8956430435180665
5,1000,1.1180109252528698,0.893507738466616
6,1000,1.1178137788912512,0.8920723738493743
7,1000,1.1183966118364024,0.8929341634114584
8,1000,1.1168853280805169,0.8913253784179688
9,1000,1.1174924129099295,0.8928324169582791
10,1000,1.1167699320262885,0.8917393154568143
11,1000,1.1183160573707478,0.8908091439141168
12,1000,1.118528674823436,0.8913034227159288
13,1000,1.1161012764960034,0.8902437422010634
14,1000,1.117856283847133,0.8899315233583803
15,1000,1.1167335256850408,0.8897980725323712
16,1000,1.116364005242171,0.8892564137776693
17,1000,1.1173216231853147,0.8880772555315936
18,1000,1.1167572072722005,0.8883381101820204
19,1000,1.1172853879331976,0.8883982693707502
20,1000,1.118286180931318,0.8885718310320819
21,1000,1.116544828631424,0.8883639794808847
22,1000,1.1168615146121523,0.8886376133671513
23,1000,1.1183668601494634,0.8883753458658854
24,1000,1.118484248679192,0.8885775318852177
25,1000,1.1177950232453098,0.8872894993534794
26,1000,1.1184244851072616,0.8892744276258681
27,1000,1.1175099994468118,0.8885133813928675
28,1000,1.117347938832214,0.8898261529427988
29,1000,1.1179333773222497,0.888714634930646
30,1000,1.1183009159826904,0.8898007145634403
31,1000,1.1180724050626414,0.8910581588745117
32,1000,1.1187389790085043,0.8904660472163448
33,1000,1.1180530220898879,0.89116232836688
34,1000,1.1182911246943208,0.8892744700113933
35,1000,1.1172058101013305,0.8917952007717557
