epoch,total,train,val
1,1000,1.2331234224156415,0.8921827598854347
2,1000,1.119849981921582,0.8889284275196216
3,1000,1.1180912925897877,0.889165793524848
4,1000,1.1198190896404392,0.8921849921897606
5,1000,1.1202411166246167,0.8984100271154333
6,1000,1.1198128698376706,0.90447124198631
7,1000,1.1193187038344496,0.9038332056116175
8,1000,1.119809408847133,0.9094938984623662
9,1000,1.1179465547496623,0.9171618355645074
10,1000,1.1193071660112053,0.919947009616428
11,1000,1.1204253368459833,0.9300560703984013
12,1000,1.119930547080307,0.9344886355929904
